,index,dtypes
0,airline,object
1,review_score,Int64
2,traveller_type,object
3,cabin,object
4,seat_comfort,Int64
5,cabin_service,Int64
6,food_bev,Int64
7,entertainment,Int64
8,ground_service,Int64
9,value_for_money,Int64
10,review_text,object
11,review_date_day,float64
12,review_date_month,float64
13,review_date_year,float64
14,date_flown_day,float64
15,date_flown_month,float64
16,date_flown_year,float64
17,review_date_date_flown_distance_days,float64
18,review_characters,int64
19,pos_neu_neg_review_score,object
20,has_layover,bool
21,recommended,object
